27540
#term	doc freq	idx
33.4	1	1131
33.5	3	1132
33.6	1	1133
33.7	1	1134
330	3	1135
3300	2	1136
330units	1	1137
333	1	1138
334	1	1139
336	1	1140
337	1	1141
33m	1	1142
33s	1	1143
34	29	1144
34,000	1	1145
34.4	1	1146
34.7	1	1147
34.8	1	1148
340	2	1149
3400	1	1150
341	2	1151
344	1	1152
3452	1	1153
346	1	1154
347	1	1155
348	1	1156
35	62	1157
35,000	1	1158
35.1	1	1159
35.4	1	1160
35.6	1	1161
35.7	1	1162
35.8	1	1163
35.9	1	1164
350	9	1165
3500	1	1166
35000	1	1167
351	1	1168
357	1	1169
358	1	1170
35s	1	1171
35s40	1	1172
35th	1	1173
36	38	1174
36,000	1	1175
36,071	1	1176
36.17	1	1177
36.2	1	1178
36.3	1	1179
36.5	1	1180
36.7	1	1181
36.8	1	1182
36.9	1	1183
36.98	1	1184
360	1	1185
3600	2	1186
361	1	1187
363	2	1188
365	2	1189
3670	1	1190
3679	1	1191
3679h	1	1192
368	1	1193
36s	1	1194
37	66	1195
37.1	3	1196
37.2	1	1197
37.5	3	1198
37.8	2	1199
370	1	1200
3726	1	1201
376	2	1202
37a	1	1203
37s	2	1204
38	34	1205
38.0	1	1206
38.1	1	1207
38.2	1	1208
38.4	2	1209
38.5	1	1210
38.7	2	1211
38.8	1	1212
380	4	1213
381	1	1214
385	1	1215
387	1	1216
388	1	1217
3893	2	1218
39	12	1219
39.0	1	1220
39.3	1	1221
39.4	1	1222
39.5	1	1223
39.6	1	1224
39.9	1	1225
390	2	1226
3950	1	1227
3a	1	1228
3aalpha	1	1229
3alpha	2	1230
3beta	3	1231
3c	1	1232
3d	2	1233
3delta	1	1234
3dynes	1	1235
3h	1	1236
3hr	3	1237
3m	1	1238
3ma	2	1239
3mum	1	1240
3rd	9	1241
3t3	4	1242
3tau	1	1243
3x	1	1244
4	878	1245
4,000	2	1246
4,096	1	1247
4,4	1	1248
4,5	1	1249
4,6	3	1250
4,7	1	1251
4.0	10	1252
4.04	1	1253
4.08	1	1254
4.1	4	1255
4.1.1.31	1	1256
4.16	1	1257
4.17	1	1258
4.19	1	1259
4.2	7	1260
4.3	5	1261
4.31	1	1262
4.33	1	1263
4.35	1	1264
4.38	1	1265
4.4	4	1266
4.44	1	1267
4.5	6	1268
4.5s	1	1269
4.6	9	1270
4.600	1	1271
4.63	1	1272
4.64	2	1273
4.7	8	1274
4.71	1	1275
4.73	1	1276
4.74	1	1277
4.8	7	1278
4.925	1	1279
4.97	1	1280
4.99	1	1281
4.9mum	1	1282
40	113	1283
40.3	1	1284
40.4	1	1285
40.5	1	1286
40.6	1	1287
400	20	1288
4000	3	1289
400000g	1	1290
400mug	1	1291
405	1	1292
407	1	1293
408	2	1294
40hr	1	1295
40mug	1	1296
40s	2	1297
41	21	1298
41.4	1	1299
41.52	1	1300
41.7	1	1301
410	1	1302
411	1	1303
414	1	1304
415	1	1305
415,000	2	1306
418	1	1307
42	32	1308
42.34	1	1309
420	2	1310
423	1	1311
424	1	1312
425	1	1313
426	1	1314
4291	1	1315
42nd	1	1316
43	17	1317
43.3	1	1318
430	2	1319
4300	1	1320
431	1	1321
433	1	1322
433nm	1	1323
435	1	1324
436	1	1325
44	23	1326
44.2	1	1327
44.3	1	1328
44.5	1	1329
44.6	1	1330
44.85	1	1331
44.9	1	1332
440	1	1333
443	1	1334
448	1	1335
44s	1	1336
45	47	1337
45,000	1	1338
45.3	1	1339
450	6	1340
454	1	1341
4579	1	1342
458	1	1343
4582	1	1344
459	1	1345
45th	1	1346
46	13	1347
46.2	1	1348
46.3	1	1349
46.5	1	1350
460	2	1351
47	16	1352
47.0	1	1353
47.2	1	1354
47.8	1	1355
47.91	1	1356
4700	1	1357
472	1	1358
47lt	1	1359
48	53	1360
48,000	1	1361
48,000,000	1	1362
48,500	1	1363
48.3	2	1364
480	1	1365
485	1	1366
486	1	1367
4864	1	1368
487	1	1369
48hr	2	1370
48min	1	1371
49	21	1372
490	1	1373
493	1	1374
499	1	1375
4a	1	1376
4alpha	1	1377
4cm	1	1378
4h	1	1379
4hr	1	1380
4m	1	1381
4min	1	1382
4moles	1	1383
4n	1	1384
4r	1	1385
4s	2	1386
4th	13	1387
5	732	1388
5,000	5	1389
5,5	1	1390
5,6	1	1391
5,690	1	1392
5,8	1	1393
5.0	14	1394
5.1	3	1395
5.2	8	1396
5.22	1	1397
5.25	1	1398
5.3	6	1399
5.376	1	1400
5.38	1	1401
5.4	4	1402
5.41	1	1403
5.417	1	1404
5.5	13	1405
5.5s	1	1406
5.6	3	1407
5.62	2	1408
5.790	1	1409
5.8	5	1410
5.87	1	1411
5.875	1	1412
5.9	1	1413
50	168	1414
50,000	2	1415
50.4	1	1416
500	31	1417
500,000	2	1418
5000	3	1419
5000mum	1	1420
500mum	1	1421
500x1,000,000	1	1422
50172	2	1423
5020	1	1424
505	1	1425
508	1	1426
509	1	1427
5094	1	1428
50m	1	1429
50mg	1	1430
50mm	1	1431
50mum	1	1432
50s	4	1433
51	14	1434
51.2	1	1435
51.6	1	1436
51.9	1	1437
5100	1	1438
51007	1	1439
51143	1	1440
51146	1	1441
512	2	1442
5123	1	1443
5123d	1	1444
52	13	1445
52,000	1	1446
52.1	1	1447
52.2	3	1448
52.5	3	1449
520	2	1450
521	2	1451
522	1	1452
524	1	1453
525	1	1454
525a	1	1455
527	1	1456
5279	1	1457
528	1	1458
529	1	1459
5290	1	1460
52a5	1	1461
53	10	1462
53.1	1	1463
53.6	1	1464
53.9	1	1465
5317	1	1466
532	1	1467
53600	1	1468
5392	1	1469
54	13	1470
54,013	1	1471
54.3	1	1472
54.7	1	1473
54.8	1	1474
540	1	1475
5400	1	1476
543	1	1477
544,000	2	1478
5449	1	1479
545	1	1480
549	1	1481
55	24	1482
55.13	1	1483
55.97	1	1484
550	3	1485
5500	1	1486
551	1	1487
552	3	1488
555	1	1489
556	1	1490
5563	1	1491
56	28	1492
56.3	1	1493
560	1	1494
5600	1	1495
56054	1	1496
569	1	1497
569b	1	1498
57	28	1499
57,000	1	1500
57.1	2	1501
57.5	1	1502
570	1	1503
574	2	1504
576	1	1505
58	17	1506
58.2	2	1507
580	4	1508
582	1	1509
585	2	1510
586	1	1511
588,000	2	1512
588.780	1	1513
59	9	1514
59.3	1	1515
59.7	1	1516
59.8	1	1517
5alpha	3	1518
5beta	1	1519
5min	2	1520
5ml	1	1521
5mm	3	1522
5ng	1	1523
5s	3	1524
5th	10	1525
6	541	1526
6,000,000	1	1527
6,10,14	1	1528
6,7	1	1529
6.0	16	1530
6.1	4	1531
6.12	1	1532
6.2	4	1533
6.25	1	1534
6.27	1	1535
6.3	8	1536
6.4	3	1537
6.42s	1	1538
6.45	1	1539
6.4x10	1	1540
6.5	13	1541
6.6	5	1542
6.7	7	1543
6.7mm	1	1544
6.8	8	1545
6.84	1	1546
6.85	2	1547
60	102	1548
60,000	3	1549
60.2	1	1550
60.4	1	1551
60.5	1	1552
60.6	1	1553
60.7	1	1554
600	12	1555
60210	1	1556
60433	1	1557
605	1	1558
6054.8	1	1559
606	1	1560
607	1	1561
60s	1	1562
61	8	1563
61.4	1	1564
610	1	1565
61e	1	1566
62	15	1567
62.5	2	1568
620nm	1	1569
623	1	1570
625	1	1571
626	1	1572
63	17	1573
63.5	1	1574
63.9	2	1575
630	1	1576
6334n	1	1577
63rd	1	1578
64	14	1579
64.8	1	1580
640	5	1581
65	23	1582
65,000	2	1583
65.6	1	1584
65.8	1	1585
650	4	1586
6500	1	1587
65mg	1	1588
66	13	1589
66,700	1	1590
66.2	2	1591
66.3	1	1592
66.5	2	1593
66.7	1	1594
660	2	1595
6616	1	1596
66min	1	1597
67	11	1598
67,300	1	1599
67,500	1	1600
67.2	1	1601
67.6	1	1602
670	1	1603
670,000	1	1604
676	1	1605
68	35	1606
68.2	1	1607
68.8	1	1608
681	1	1609
6828	1	1610
683	1	1611
685	1	1612
686	1	1613
688	1	1614
69	16	1615
69.1	1	1616
69.2	3	1617
69.5	1	1618
69.6	1	1619
69.98	1	1620
694.3	1	1621
6943	1	1622
694nm	1	1623
695	1	1624
697	1	1625
698	1	1626
69s	1	1627
6alpha	1	1628
6b	1	1629
6bc	1	1630
6d	1	1631
6h	1	1632
6hr	1	1633
6j	1	1634
6m	1	1635
6th	10	1636
7	331	1637
7,000	1	1638
7,500	1	1639
7,501	1	1640
7,8	3	1641
7,8,11,12	2	1642
7,8,7	1	1643
7,950,000	1	1644
7.0	15	1645
7.1	2	1646
7.18	1	1647
7.1s	1	1648
7.2	6	1649
7.3	7	1650
7.30	1	1651
7.388	1	1652
7.4	6	1653
7.5	13	1654
7.52	1	1655
7.532	1	1656
7.536	1	1657
7.5s	1	1658
7.6	3	1659
7.65	1	1660
7.7	2	1661
7.8	4	1662
7.85	1	1663
7.86	1	1664
7.9	3	1665
70	63	1666
70,000	3	1667
70.2	1	1668
700	7	1669
7000	3	1670
702	1	1671
705	1	1672
7054	1	1673
706	1	1674
70kcal	1	1675
70s	4	1676
70th	1	1677
71	5	1678
71.1	1	1679
71.6	1	1680
7136	1	1681
715	1	1682
719	1	1683
72	33	1684
720	1	1685
7200	1	1686
721	4	1687
723	1	1688
73	15	1689
73.8	1	1690
730	1	1691
7300	1	1692
735	2	1693
73s	1	1694
74	7	1695
74.0	1	1696
74.1	1	1697
740	1	1698
7400	1	1699
741	1	1700
749	1	1701
75	40	1702
75,000	1	1703
75.2	1	1704
75.5	1	1705
750	2	1706
7500	1	1707
75000	1	1708
755	7	1709
7581	1	1710
76	7	1711
76,000	1	1712
76.8	1	1713
76000	1	1714
77	6	1715
77.3	1	1716
77.5	1	1717
77.6	1	1718
770	2	1719
775w	1	1720
778	1	1721
78	10	1722
78.3	1	1723
7800	1	1724
7837	1	1725
79	8	1726
79.5	2	1727
790	2	1728
792	1	1729
7abeta	1	1730
7alpha	1	1731
7h	1	1732
7mt	1	1733
7s	5	1734
7sec	1	1735
7th	8	1736
8	279	1737
8,000	1	1738
8,14	1	1739
8,200,000	1	1740
8.0	11	1741
8.07	1	1742
8.1	1	1743
8.2	4	1744
8.2.5	1	1745
